Источник,Год публикации,Автор,Страна,Место,Ссылка,Широта ,Долгота,
Насекомые (Insecta) Зоологического музея Башкирского государственного университета,1976,В.Ф. Хабибуллин,Россия ,Башкирский государственный природный заповедник,https://elibrary.ru/item.asp?id=30794829,53.3453,57.7778,
Zur Käferfauna (Col.) eines Ton- und Sandabbaugebietes im Niederrheinischen Tiefland,1996,Peter E. Stüben,Германия,Равнина Нижнего Рейна,http://www.koleopterologie.de/arbeitsgemeinschaft/publikationen/pdf-mitt/STUEBEN%20WENZEL%201996%20Kaeferfauna%20Holter%20Heide.pdf,51.5358,6.3603,
Ergänzungsantrag zur Ausweisung eines Naturschutzgebietes im Lampertheimer Wald,1995,R. Darmstadt et al.,Германия,лес Лампертхайм,http://www.bio-nica.info/Biblioteca/Nolte1995ColeopteraDarmstadtAlemania.pdf,49.6186,8.5392,
"Kinzigaue Zoologische Untersuchungen 1999-2001, Teil 2",2014,Frank Köhler,Германия,заповедник Кинцигауэ,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwj6j9O2kuuTAxX-FBAIHefoD04QFnoECBkQAQ&url=https%3A%2F%2Fwww.researchgate.net%2Fpublication%2F267651825_Kinzigaue_Zoologische_Untersuchungen_1999-2001_Teil_2&usg=AOvVaw29D6DKIRILgp8o2Pkw0BCk&opi=89978449,50.1800,9.0400,
"Artenbericht 2007 Tiere, Pflanzen und Pilze im Nationalpark Hainich",2007,Frank Köhler,Германия,Национальный парк Хайних,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwisuMy8kuuTAxXUAxAIHWIINrkQFnoECB4QAQ&url=https%3A%2F%2Fwww.yumpu.com%2Fde%2Fdocument%2Fview%2F41105148%2Fartenbericht-2007-nationalpark-hainich&usg=AOvVaw0gikw6icPbqN5i5_POrB0P&opi=89978449,51.0967,10.3908,
Die Westerwaldexkursion der Arbeitsgemeinschaft Rheinischer Koleopterologen 1999 (Coleoptera),2000,"Heinz Baumann, Frank Köhler",Германия,Вестервальд,https://www.koleopterologie.de/arbeitsgemeinschaft/publikationen/pdf-mitt/BAUMANN%20KOEHLER%202000%20Kaefer%20Westerwald%20Exkursion%201999.pdf,50.6667,7.8333,
Brouci (Coleoptera) Významného krajinného prvku Motýlí step Pichce u Příbrami,2019,"Stanislav Urban, Ondřej Sedláček, David Sommer",Чехия,заповедник Motýli Step Pichce,https://www.researchgate.net/profile/David-Sommer-8/publication/335456115_Brouci_Coleoptera_Vyznamneho_krajinneho_prvku_Motyli_step_Pichce_u_Pribrami_Beetles_Coleoptera_of_the_significant_landscape_component_Motyli_step_Pichce_near_Pribram/links/5d66e65b299bf11adf297cf6/Brouci-Coleoptera-Vyznamneho-krajinneho-prvku-Motyli-step-Pichce-u-Pribrami-Beetles-Coleoptera-of-the-significant-landscape-component-Motyli-step-Pichce-near-Pribram.pdf,49.8647,15.5206,
Материалы к познанию колеоптерофауны государственного природного заповедника «Присурский». Сообщение 5,2016,Л.В. Егоров,Россия ,Респ. Чувашия: Государственный природный заповедник «Присурский» ,https://www.zin.ru/Animalia/Coleoptera//rus/legpdf23.htm,55.0253,46.7572,
"Verslag van de 149e zomervergadering van de Nederlandse Entomologische Vereniging, 3-5 juni 1994, te Kreielt bij Wintelre ",1995,P. Koomen,Нидерланды,заповедник Strabrechtse Heide,https://natuurtijdschriften.nl/pub/1012278/EB1995055012004.pdf,51.3167,5.9333,
"Verslag van de 149e zomervergadering van de Nederlandse Entomologische Vereniging, 3-5 juni 1994, te Kreielt bij Wintelre ",1995,P. Koomen,Нидерланды,заповедник Malpiebeemde,https://natuurtijdschriften.nl/pub/1012278/EB1995055012004.pdf,51.3167,5.9333,
"Verslag van de 149e zomervergadering van de Nederlandse Entomologische Vereniging, 3-5 juni 1994, te Kreielt bij Wintelre ",1995,P. Koomen,Нидерланды,заповедник Reuselse Moeren,https://natuurtijdschriften.nl/pub/1012278/EB1995055012004.pdf,51.3167,5.9333,
Chrząszcze (Insecta: Coleoptera) rezerwatu przyrody „Czarci Staw” koło Złotowa,2011,"Rafał Ruta, Andrzej Melke, Marek Przewoźny",Польша,заповедник Czarci Staw,https://kp.org.pl/pdf/pp/pdf2/pp_XXII_2011_2_RUTA.pdf,53.3333,17.0000,
Kevers van de Meinweg (Coleoptera),2013,Ed Colijn et al.,Нидерланды,национальный парк Meinweg,https://natuurtijdschriften.nl/pub/1003117/NAHM2013102010012.pdf,51.1656,6.1031,
Seznam floristických a faunistických nálezů z terénní exkurze do CHKO Třeboňsko (Bioléto 2010),2010,Jan Rolda Roleček et al.,Чехия,г. Тршебонь,https://www.sci.muni.cz/zoolecol/bioweb/materialy/Trebonsko10zprava.pdf,49.0433,14.7500,
Brouci (Coleoptera) významného krajinného prvku Lada pod Květnou u Příbrami a blízkého okolí,2020,"Ondřej Sedláček, Stanislav Urban, David Sommer",Чехия,г. Пршибрам: Lada pod Květnou,https://www.academia.edu/download/65040437/Sedlacek_etal_2020_Brouci_Coleoptera_vyznamneho_krajinneho_prvku_Lada_pod_Kvetnou_u_Pribrami_a_blizkeho_okoli.pdf,49.6833,14.0167,
Catalogo dei Coleopteri della Lombardia,1844,"Antonio Villa, Giovanni Battista Villa",Италия,Ломбардия,https://books.google.com/books?hl=ru&lr=&id=I_NhAAAAcAAJ&oi=fnd&pg=PA5&dq=Catalogo+dei+Coleopteri+della+Lombardia&ots=2ooTHpq2h4&sig=1EXF9E5YIuuAEmkx8swEgD2gfao,45.7461,8.7039,
